"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
soc_name8,prep_r_survey,,text,Name:,,"nicknames or initials okay",,,,y,,,RH,8,,,
soc_name9,prep_r_survey,,text,Name:,,"nicknames or initials okay",,,,y,,,RH,9,,,
soc_name10,prep_r_survey,,text,Name:,,"nicknames or initials okay",,,,y,,,RH,10,,,
soc_network,prep_r_survey,,text,"Number of Network Members listed:",,,integer,0,,,,,RH,,,,
soc_netless5,prep_r_survey,,descriptive,"<em>Is there anyone else? Please think back to the last few times you talked with someone about important things in your life. Are any of them not listed?",,,,,,,"[soc_network] < 5",,,,,,
soc_netmore5,prep_r_survey,,descriptive,"<em>Is there anyone else?",,,,,,,"[soc_network] >= 5",,,,,,
soc_desc,prep_r_survey,,descriptive,"<em> Okay this is a good list for us to work with. For the next part of our activity, we're going to focus on the first five people you listed. I'm going to ask you some questions about each of them. If you don't know the answer or are uncomfortable with any question, just let me know and we can move on.

Let's start with <font color=""blue"">[soc_name1]</font>. Using the hand cards I've given you, please select a number that best answers the following questions.<em>",,,,,,,,,,,,,
soc_rship1,prep_r_survey,,radio,"What is your relationship to <font color=""blue"">[soc_name1]</font>? Please use Handcard A.",,,,,,,,,LV,,,,
soc_age1,prep_r_survey,,text,"How old is <font color=""blue"">[soc_name1]</font>?",,,,,,,,,RH,,,,
soc_race1,prep_r_survey,,radio,"Looking at Handcard B, what is <font color=""blue"">[soc_name1]</font>'s race or ethnicity?",,,,,,,,,LV,,,,
soc_gender1,prep_r_survey,,radio,"Looking at Handcard C, what is <font color=""blue"">[soc_name1]</font>'s gender identity?",,,,,,,,,LV,,,,
soc_hied1,prep_r_survey,,radio,"Using Handcard D, what is the highest level of education achieved by <font color=""blue"">[soc_name1]</font>?",,,,,,,,,LV,,,,
soc_live1,prep_r_survey,,radio,"And using Handcard E, can you tell me where <font color=""blue"">[soc_name1]</font> lives?",,,,,,,,,LV,,,,
soc_rship2,prep_r_survey,,radio,"What is your relationship to <font color=""blue"">[soc_name2]</font>? Please use Handcard A.",,,,,,,"[soc_name2]<>""""",,LV,,,,
soc_age2,prep_r_survey,,text,"How old is <font color=""blue"">[soc_name2]</font>?",,,,,,,"[soc_name2]<>""""",,RH,,,,
soc_race2,prep_r_survey,,radio,"Looking at Handcard B, what is <font color=""blue"">[soc_name2]</font>'s race or ethnicity?",,,,,,,"[soc_name2]<>""""",,LV,,,,
soc_gender2,prep_r_survey,,radio,"Looking at Handcard C, what is <font color=""blue"">[soc_name2]</font>'s gender identity?",,,,,,,"[soc_name2]<>""""",,LV,,,,
soc_hied2,prep_r_survey,,radio,"Using Handcard D, what is the highest level of education achieved by <font color=""blue"">[soc_name2]</font>?",,,,,,,"[soc_name2]<>""""",,LV,,,,
soc_live2,prep_r_survey,,radio,"And using Handcard E, can you tell me where <font color=""blue"">[soc_name2]</font> lives?",,,,,,,"[soc_name2]<>""""",,LV,,,,
soc_rship3,prep_r_survey,,radio,"What is your relationship to <font color=""blue"">[soc_name3]</font>? Please use Handcard A.",,,,,,,"[soc_name3]<>""""",,LV,,,,
soc_age3,prep_r_survey,,text,"How old is <font color=""blue"">[soc_name3]</font>?",,,,,,,"[soc_name3]<>""""",,,,,,
soc_race3,prep_r_survey,,radio,"Looking at Handcard B, what is <font color=""blue"">[soc_name3]</font>'s race or ethnicity?",,,,,,,"[soc_name3]<>""""",,LV,,,,
soc_gender3,prep_r_survey,,radio,"Looking at Handcard C, what is <font color=""blue"">[soc_name3]</font>'s gender identity?",,,,,,,"[soc_name3]<>""""",,LV,,,,
soc_hied3,prep_r_survey,,radio,"Using Handcard D, what is the highest level of education achieved by <font color=""blue"">[soc_name3]</font>?",,,,,,,"[soc_name3]<>""""",,LV,,,,
soc_live3,prep_r_survey,,radio,"And using Handcard E, can you tell me where <font color=""blue"">[soc_name3]</font> lives?",,,,,,,"[soc_name3]<>""""",,LV,,,,
soc_rship4,prep_r_survey,,radio,"What is your relationship to <font color=""blue"">[soc_name4]</font>? Please use Handcard A.",,,,,,,"[soc_name4]<>""""",,LV,,,,
soc_age4,prep_r_survey,,text,"How old is <font color=""blue"">[soc_name4]</font>?",,,,,,,"[soc_name4]<>""""",,,,,,
soc_race4,prep_r_survey,,radio,"Looking at Handcard B, what is <font color=""blue"">[soc_name4]</font>'s race or ethnicity?",,,,,,,"[soc_name4]<>""""",,LV,,,,
soc_gender4,prep_r_survey,,radio,"Looking at Handcard C, what is <font color=""blue"">[soc_name4]</font>'s gender identity?",,,,,,,"[soc_name4]<>""""",,LV,,,,
soc_hied4,prep_r_survey,,radio,"Using Handcard D, what is the highest level of education achieved by <font color=""blue"">[soc_name4]</font>?",,,,,,,"[soc_name4]<>""""",,LV,,,,
soc_live4,prep_r_survey,,radio,"And using Handcard E, can you tell me where <font color=""blue"">[soc_name4]</font> lives?",,,,,,,"[soc_name4]<>""""",,LV,,,,
soc_rship5,prep_r_survey,,radio,"What is your relationship to <font color=""blue"">[soc_name5]</font>? Please use Handcard A.",,,,,,,"[soc_name5]<>""""",,LV,,,,
soc_age5,prep_r_survey,,text,"How old is <font color=""blue"">[soc_name5]</font>?",,,,,,,"[soc_name5]<>""""",,,,,,
soc_race5,prep_r_survey,,radio,"Looking at Handcard B, what is <font color=""blue"">[soc_name5]</font>'s race or ethnicity?",,,,,,,"[soc_name5]<>""""",,LV,,,,
soc_gender5,prep_r_survey,,radio,"Looking at Handcard C, what is <font color=""blue"">[soc_name5]</font>'s gender identity?",,,,,,,"[soc_name5]<>""""",,LV,,,,
soc_hied5,prep_r_survey,,radio,"Using Handcard D, what is the highest level of education achieved by <font color=""blue"">[soc_name5]</font>?",,,,,,,"[soc_name5]<>""""",,LV,,,,
soc_live5,prep_r_survey,,radio,"And using Handcard E, can you tell me where <font color=""blue"">[soc_name5]</font> lives?",,,,,,,"[soc_name5]<>""""",,LV,,,,
soc_transition,prep_r_survey,,descriptive,"Now I'm going to ask you some questions about each of the people you've shared with me. These questions are about how often you communicate, the types of information you share with each person, and any stress in your relationship.



Does __________ currently own a cell phone that is not shared with other people?",,,,,,,,,,,,,
soc_cell1,prep_r_survey,,radio,"<font color=""blue"">[soc_name1]</font>","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,,,,,soc_cellphone,,
soc_cell2,prep_r_survey,,radio,"<font color=""blue"">[soc_name2]</font>","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,"[soc_name2]<>""""",,,,soc_cellphone,,
soc_cell3,prep_r_survey,,radio,"<font color=""blue"">[soc_name3]</font>","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_cellphone,,
soc_cell4,prep_r_survey,,radio,"<font color=""blue"">[soc_name4]</font>","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_cellphone,,
soc_cell5,prep_r_survey,,radio,"<font color=""blue"">[soc_name5]</font>","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_cellphone,,
soc_transition2,prep_r_survey,,descriptive,"If you look at Handcard F, how often has __________'s cell phone number changed in the past 6 months?",,,,,,,,,,,,,
soc_cellchange1,prep_r_survey,,radio,"<font color=""blue"">[soc_name1]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,,,,,soc_cellchange,,
soc_cellchange2,prep_r_survey,,radio,"<font color=""blue"">[soc_name2]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name2]<>""""",,,,soc_cellchange,,
soc_cellchange3,prep_r_survey,,radio,"<font color=""blue"">[soc_name3]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_cellchange,,
soc_cellchange4,prep_r_survey,,radio,"<font color=""blue"">[soc_name4]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_cellchange,,
soc_cellchange5,prep_r_survey,,radio,"<font color=""blue"">[soc_name5]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_cellchange,,
soc_transition3,prep_r_survey,,descriptive,"Looking at Handcard F again, how many times has __________ moved in the past 6 months?",,,,,,,,,,,,,
soc_move1,prep_r_survey,,radio,"<font color=""blue"">[soc_name1]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,,,,,soc_move,,
soc_move2,prep_r_survey,,radio,"<font color=""blue"">[soc_name2]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name2]<>""""",,,,soc_move,,
soc_move3,prep_r_survey,,radio,"<font color=""blue"">[soc_name3]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_move,,
soc_move4,prep_r_survey,,radio,"<font color=""blue"">[soc_name4]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_move,,
soc_move5,prep_r_survey,,radio,"<font color=""blue"">[soc_name5]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_move,,
soc_transition4,prep_r_survey,,descriptive,"Now, looking at Handcard G, how often do you communicate with __________?",,,,,,,,,,,,,
soc_comm1,prep_r_survey,,radio,"<font color=""blue"">[soc_name1]</font>","1, Every day | 2, Several times a week | 3, Once a week | 4, Once every 2 weeks | 5, Once a month | 6, A couple time a year | 7, Once a year | 8, Less than once a year | -98, Don't know | -99, Refused",,,,,,,,,,soc_communicate,,
soc_comm2,prep_r_survey,,radio,"<font color=""blue"">[soc_name2]</font>","1, Every day | 2, Several times a week | 3, Once a week | 4, Once every 2 weeks | 5, Once a month | 6, A couple time a year | 7, Once a year | 8, Less than once a year | -98, Don't know | -99, Refused",,,,,,"[soc_name2]<>""""",,,,soc_communicate,,
soc_comm3,prep_r_survey,,radio,"<font color=""blue"">[soc_name3]</font>","1, Every day | 2, Several times a week | 3, Once a week | 4, Once every 2 weeks | 5, Once a month | 6, A couple time a year | 7, Once a year | 8, Less than once a year | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_communicate,,
soc_comm4,prep_r_survey,,radio,"<font color=""blue"">[soc_name4]</font>","1, Every day | 2, Several times a week | 3, Once a week | 4, Once every 2 weeks | 5, Once a month | 6, A couple time a year | 7, Once a year | 8, Less than once a year | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_communicate,,
soc_comm5,prep_r_survey,,radio,"<font color=""blue"">[soc_name5]</font>","1, Every day | 2, Several times a week | 3, Once a week | 4, Once every 2 weeks | 5, Once a month | 6, A couple time a year | 7, Once a year | 8, Less than once a year | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_communicate,,
soc_transition5,prep_r_survey,,descriptive,"How easy would it be for __________ to come to this clinic with you for at least one visit? Please look at Handcard H.",,,,,,,,,,,,,
soc_visit1,prep_r_survey,,radio,"<font color=""blue"">[soc_name1]</font>","1, Very easy | 2, Easy | 3, Not that easy | 4, Not easy at all | -98, Don't know | -99, Refused",,,,,,,,,,soc_visit,,
soc_visit2,prep_r_survey,,radio,"<font color=""blue"">[soc_name2]</font>","1, Very easy | 2, Easy | 3, Not that easy | 4, Not easy at all | -98, Don't know | -99, Refused",,,,,,"[soc_name2]<>""""",,,,soc_visit,,
soc_visit3,prep_r_survey,,radio,"<font color=""blue"">[soc_name3]</font>","1, Very easy | 2, Easy | 3, Not that easy | 4, Not easy at all | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_visit,,
soc_visit4,prep_r_survey,,radio,"<font color=""blue"">[soc_name4]</font>","1, Very easy | 2, Easy | 3, Not that easy | 4, Not easy at all | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_visit,,
soc_visit5,prep_r_survey,,radio,"<font color=""blue"">[soc_name5]</font>","1, Very easy | 2, Easy | 3, Not that easy | 4, Not easy at all | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_visit,,
soc_transition6,prep_r_survey,,descriptive,"Looking at Handcard I, how likely is __________ to be available and supportive of you in the coming year?",,,,,,,,,,,,,
soc_avail1,prep_r_survey,,radio,"<font color=""blue"">[soc_name1]</font>","1, Very likely | 2, Somewhat likely | 3, Unlikely | 4, Very unlikely | -98, Don't know | -99, Refused",,,,,,,,,,soc_available,,
soc_avail2,prep_r_survey,,radio,"<font color=""blue"">[soc_name2]</font>","1, Very likely | 2, Somewhat likely | 3, Unlikely | 4, Very unlikely | -98, Don't know | -99, Refused",,,,,,"[soc_name2]<>""""",,,,soc_available,,
soc_avail3,prep_r_survey,,radio,"<font color=""blue"">[soc_name3]</font>","1, Very likely | 2, Somewhat likely | 3, Unlikely | 4, Very unlikely | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_available,,
soc_avail4,prep_r_survey,,radio,"<font color=""blue"">[soc_name4]</font>","1, Very likely | 2, Somewhat likely | 3, Unlikely | 4, Very unlikely | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_available,,
soc_avail5,prep_r_survey,,radio,"<font color=""blue"">[soc_name5]</font>","1, Very likely | 2, Somewhat likely | 3, Unlikely | 4, Very unlikely | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_available,,
soc_transition7,prep_r_survey,,descriptive,"In the last 6 months, how many times has __________ betrayed your trust? Please look at Handcard J.",,,,,,,,,,,,,
soc_betray1,prep_r_survey,,radio,"<font color=""blue"">[soc_name1]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,,,,,soc_betray,,
soc_betray2,prep_r_survey,,radio,"<font color=""blue"">[soc_name2]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name2]<>""""",,,,soc_betray,,
soc_betray3,prep_r_survey,,radio,"<font color=""blue"">[soc_name3]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_betray,,
soc_betray4,prep_r_survey,,radio,"<font color=""blue"">[soc_name4]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_betray,,
soc_betray5,prep_r_survey,,radio,"<font color=""blue"">[soc_name5]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_betray,,
soc_transition8,prep_r_survey,,descriptive,"The final set of questions is about the types of information the people you've listed have shared with you. As a reminder, all of your answers are confidential and you can skip any question.



Does __________ know that you have sex with men?",,,,,,,,,,,,,
soc_knowmsm1,prep_r_survey,,radio,"<font color=""blue"">[soc_name1]</font>","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,,,,,soc_knowmsm,,
soc_knowmsm2,prep_r_survey,,radio,"<font color=""blue"">[soc_name2]</font>","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,"[soc_name1]<>""""",,,,soc_knowmsm,,
soc_knowmsm3,prep_r_survey,,radio,"<font color=""blue"">[soc_name3]</font>","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_knowmsm,,
soc_knowmsm4,prep_r_survey,,radio,"<font color=""blue"">[soc_name4]</font>","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_knowmsm,,
soc_knowmsm5,prep_r_survey,,radio,"<font color=""blue"">[soc_name5]</font>","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_knowmsm,,
soc_transition9,prep_r_survey,,descriptive,"Our next question is about __________'s sexual orientation and their sexual partners.

Of the following people, who does __________ have sex with? The responses are men, women, transgender women, transgender men, and none of the above. You can check all that apply.",,,,,,,,,,,,,
soc_sexpref1,prep_r_survey,,checkbox,"<font color=""blue"">[soc_name1]</font>","1, Men | 2, Women | 3, Transgender women | 4, Transgender men | 5, None of the above | -98, Don't know | -99, Refused",,,,,,,,,,soc_sexpref,,
soc_sexpref2,prep_r_survey,,checkbox,"<font color=""blue"">[soc_name2]</font>","1, Men | 2, Women | 3, Transgender women | 4, Transgender men | 5, None of the above | -98, Don't know | -99, Refused",,,,,,"[soc_name1]<>""""",,,,soc_sexpref,,
soc_sexpref3,prep_r_survey,,checkbox,"<font color=""blue"">[soc_name3]</font>","1, Men | 2, Women | 3, Transgender women | 4, Transgender men | 5, None of the above | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_sexpref,,
soc_sexpref4,prep_r_survey,,checkbox,"<font color=""blue"">[soc_name4]</font>","1, Men | 2, Women | 3, Transgender women | 4, Transgender men | 5, None of the above | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_sexpref,,
soc_sexpref5,prep_r_survey,,checkbox,"<font color=""blue"">[soc_name5]</font>","1, Men | 2, Women | 3, Transgender women | 4, Transgender men | 5, None of the above | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_sexpref,,
soc_transition10,prep_r_survey,,descriptive,"Looking at Handcard J again, how many times has __________'s substance abuse negatively impacted their life in the past six months? When we say substance use, we mean alcohol and other drug use, which includes marijuana, poppers, ecstasy, cocaine, crack, heroine, prescription drugs, and any other illegal drug.",,,,,,,,,,,,,
soc_substance1,prep_r_survey,,radio,"<font color=""blue"">[soc_name1]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,,,,,soc_substance,,
soc_substance2,prep_r_survey,,radio,"<font color=""blue"">[soc_name2]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name2]<>""""",,,,soc_substance,,
soc_substance3,prep_r_survey,,radio,"<font color=""blue"">[soc_name3]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name3]<>""""",,,,soc_substance,,
soc_substance4,prep_r_survey,,radio,"<font color=""blue"">[soc_name4]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name4]<>""""",,,,soc_substance,,
soc_substance5,prep_r_survey,,radio,"<font color=""blue"">[soc_name5]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,"[soc_name5]<>""""",,,,soc_substance,,
soc_transition11,prep_r_survey,,descriptive,"In the past 6 months, how many times has __________ been detained by police or in jail for more than one night? Please look at Handcard J again.",,,,,,,,,,,,,
soc_jail1,prep_r_survey,,radio,"<font color=""blue"">[soc_name1]</font>","1, Never | 2, 1-2 times | 3, 3-4 times | 4, 5+ times | -98, Don't know | -99, Refused",,,,,,,,,,soc_jail,,
